Verified,Title,Description,Source,Hazard,Incident on,Province,District,Municipality,Ward,Total estimated loss (NPR),Agriculture economic loss (NPR),Infrastructure economic loss (NPR),Total infrastructure destroyed,House destroyed,House affected,Total livestock destroyed,Total - People Death,Male - People Death,Female - People Death,Unknown - People Death,Disabled - People Death,Total - People Missing,Male - People Missing,Female - People Missing,Unknown - People Missing,Disabled - People Missing,Total - People Injured,Male - People Injured,Female - People Injured,Unknown - People Injured,Disabled - People Injured,date,search_str,latitude,longitude
Yes,"Flood at Kusundea, Binayee Tribeni Rural Municipality-5",,nepal_police,Flood,2021-10-21,Gandaki,Nawalparasi East,Binayee Tribeni,5,,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2021-10-21,"Binayee Tribeni, Nawalparasi East, Nepal",27.630790000000047,83.86238000000003
Yes,Flood at Itahari Submetropolitan City-7,,nepal_police,Flood,2021-10-21,Koshi,Sunsari,Itahari,7,,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-10-21,"Itahari, Sunsari, Nepal",26.663710000000037,87.27403000000004
Yes,"Landslide at Sunkhola, Alital Rural Municipality-8",,nepal_police,Landslide,2021-10-21,Sudurpashchim,Dadeldhura,Alital,8,,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2021-10-21,"Alital, Dadeldhura, Nepal",29.11393000000004,80.49384000000003
Yes,"Landslide at Paruwa, Purchaudi Municipality-6",,nepal_police,Landslide,2021-10-21,Sudurpashchim,Baitadi,Purchaudi,6,,0,0,1,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-10-21,"Purchaudi, Baitadi, Nepal",29.60326000000003,80.70177000000007
Yes,"Landslide at Bata, Himali Rural Municipality-4",,nepal_police,Landslide,2021-10-21,Sudurpashchim,Bajura,Himali,4,,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-10-21,"Himali, Bajura, Nepal",29.71252000000004,81.61904000000004
Yes,"Landslide at Jilgau, Suryodaya Municipality-3",,nepal_police,Landslide,2021-10-20,Koshi,Ilam,Suryodaya,3,,0,0,1,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2021-10-20,"Suryodaya, Ilam, Nepal",26.895880000000034,88.06804000000005
Yes,"Landslide at Lutimaya, Deumai Municipality-2",,nepal_police,Landslide,2021-10-20,Koshi,Ilam,Deumai,2,,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2021-10-20,"Deumai, Ilam, Nepal",26.93196000000006,87.84665000000007
Yes,Landslide at Itahari Submetropolitan City-2,,nepal_police,Landslide,2021-10-20,Koshi,Sunsari,Itahari,2,,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-10-20,"Itahari, Sunsari, Nepal",26.663710000000037,87.27403000000004
Yes,"Landslide at yotha, Mahawai Rural Municipality-2",,nepal_police,Landslide,2021-10-20,Karnali,Kalikot,Mahawai,2,,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-10-20,"Mahawai, Kalikot, Nepal",29.04137000000003,81.85773000000006
Yes,Landslide at Shikhar Municipality-2,,nepal_police,Landslide,2021-10-20,Sudurpashchim,Doti,Shikhar,2,,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-10-20,"Shikhar, Doti, Nepal",29.24472000000003,80.82259000000005
Yes,Flood at Bithadchir Rural Municipality-1,,nepal_police,Flood,2021-10-20,Sudurpashchim,Bajhang,Bithadchir,1,,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-10-20,"Bithadchir, Bajhang, Nepal",29.504040000000032,80.85600000000005
Yes,Landslide at Bungal Municipality-6,,nepal_police,Landslide,2021-10-20,Sudurpashchim,Bajhang,Bungal,6,,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-10-20,"Bungal, Bajhang, Nepal",29.68936000000008,80.94905000000006
